corruption,severity,stat,mean_value,std_value,n
water_glare,1,saturated_fraction,0.011575409722222225,0.02138433773775559,20
water_glare,2,saturated_fraction,0.018178451388888888,0.025745394498026593,20
water_glare,3,saturated_fraction,0.18950645277777778,0.018046240767271498,20
turbidity_cast,1,rms_contrast,0.10984715223312377,0.031608969000471124,20
turbidity_cast,2,rms_contrast,0.07010832577943801,0.020173959704930664,20
turbidity_cast,3,rms_contrast,0.037800340168178084,0.010877202968243453,20
inundation,1,occluded_fraction,0.08301634027777777,0.030278543088127167,20
inundation,2,occluded_fraction,0.22352932500000003,0.04892226155354939,20
inundation,3,occluded_fraction,0.39208652361111107,0.0644226631670011,20
smoke_haze,1,rms_contrast,0.11701814234256744,0.032529261626146014,20
smoke_haze,2,rms_contrast,0.07759464289993048,0.01915239387038682,20
smoke_haze,3,rms_contrast,0.04746815236285329,0.011559497303849932,20
fire_warm_tint,1,red_blue_ratio,1.6742504835128784,0.24528486866529076,20
fire_warm_tint,2,red_blue_ratio,2.072060835361481,0.23376469233616326,20
fire_warm_tint,3,red_blue_ratio,2.451625609397888,0.1938094943973711,20
rain_streaks,1,streak_density,0.13411145955324172,0.035970234552348934,20
rain_streaks,2,streak_density,0.09058897979557515,0.018678164840723373,20
rain_streaks,3,streak_density,0.1294225614517927,0.014778926629993002,20
motion_blur,1,edge_strength,0.07639482002705336,0.020523945944110684,20
motion_blur,2,edge_strength,0.05722800772637129,0.01605734269377879,20
motion_blur,3,edge_strength,0.047206380404531956,0.014401933539633099,20
low_light,1,mean_luminance,0.23554955534636973,0.0603431600938255,20
low_light,2,mean_luminance,0.15330160669982434,0.030383949848941747,20
low_light,3,mean_luminance,0.11750412546098232,0.012245325027557845,20
dust_haze,1,rms_contrast,0.10941128246486187,0.02877599920369692,20
dust_haze,2,rms_contrast,0.07204612623900175,0.01819987741978384,20
dust_haze,3,rms_contrast,0.04888964956626296,0.011384208061421802,20
