model,dataset,family,corruption,severity,conf_thresh,n_images,n_boot,recall_mean,recall_ci_lo,recall_ci_hi,precision_mean,precision_ci_lo,precision_ci_hi,f1_mean,f1_ci_lo,f1_ci_hi
fasterrcnn,heridal,clean,clean,0,0.99,101,1000,0.7474617961174765,0.6636349607182941,0.8286759581881533,0.9015459570889172,0.8585858585858586,0.9420883740883741,0.8165611097179247,0.7608343345347749,0.8697297380775884
fasterrcnn,heridal,flood,water_glare,1,0.99,101,1000,0.6984546370878273,0.6209118197840934,0.784207721209051,0.8990475537974403,0.8539325842696629,0.9433210184278465,0.7854078706604848,0.7307634730538922,0.8462850156312874
fasterrcnn,heridal,flood,water_glare,2,0.99,101,1000,0.7086609513210973,0.6342164903949924,0.7876064425770307,0.9078652150154183,0.8625954198473282,0.9471423603060515,0.7953421070638295,0.7381652759478847,0.8480588273786153
fasterrcnn,heridal,flood,water_glare,3,0.99,101,1000,0.6140329191066455,0.5234525621511923,0.7082043076432784,0.8957868730457031,0.8516727036632039,0.9372610294117647,0.7275833168660919,0.6557941153049849,0.7955304785399419
fasterrcnn,heridal,flood,turbidity_cast,1,0.99,101,1000,0.6626845410617663,0.5755226685459244,0.7521760633036597,0.9064517563288104,0.8637990954138814,0.9517283379586802,0.7646900873947042,0.7003364261507583,0.8270747381273698
fasterrcnn,heridal,flood,turbidity_cast,2,0.99,101,1000,0.3689536300629391,0.28762953872526104,0.4604886800080857,0.8979166303800998,0.8344540229885058,0.9527132601351351,0.521642210560286,0.4333315098468271,0.6134213948022698
fasterrcnn,heridal,flood,turbidity_cast,3,0.99,101,1000,0.02385464009827708,0.008107018308631213,0.04455743254737844,0.8809943499354104,0.6,1.0,0.04628737664870263,0.01603748959406262,0.08491416640890813
fasterrcnn,heridal,flood,inundation,1,0.99,101,1000,0.703809461752941,0.6172610590129771,0.7871111356606275,0.9009657344496848,0.8546664385684036,0.9433255517826825,0.7894531617174765,0.7302619746308217,0.8486008897472151
fasterrcnn,heridal,flood,inundation,2,0.99,101,1000,0.5853389886476716,0.5076483018580566,0.673858552631579,0.920484762054919,0.869756924155662,0.9676000254841998,0.714801960595976,0.6494968349293947,0.7824820946342609
fasterrcnn,heridal,flood,inundation,3,0.99,101,1000,0.326188539869635,0.26500657761586727,0.3951173826173826,0.9022589636517403,0.8417151992691561,0.9576360205098988,0.47827547939767034,0.4110138884328725,0.5498234221918432
fasterrcnn,heridal,wildfire,smoke_haze,1,0.99,101,1000,0.6739039249400585,0.5823934837092732,0.7652794101341612,0.9042935064941539,0.8624477488641057,0.9465742327465337,0.7712104022113428,0.706066040355424,0.8303164351310832
fasterrcnn,heridal,wildfire,smoke_haze,2,0.99,101,1000,0.5107227855691439,0.42818290465930514,0.5986196548336109,0.9343125491163273,0.892852787456446,0.9728475400457666,0.6593691819626909,0.5847743534103572,0.7320863421073064
fasterrcnn,heridal,wildfire,smoke_haze,3,0.99,101,1000,0.15056354240710457,0.10415812841530055,0.19722146984470923,0.9446892242594315,0.875,1.0,0.258987564370511,0.18707706238329846,0.328047956771361
fasterrcnn,heridal,wildfire,fire_warm_tint,1,0.99,101,1000,0.6729796695111854,0.5810252557207635,0.7686710677382319,0.8964193038502237,0.8481421630756231,0.9400106382978722,0.7677328494466699,0.7045453047775948,0.8264924672201975
fasterrcnn,heridal,wildfire,fire_warm_tint,2,0.99,101,1000,0.5708576130011616,0.47236981740412504,0.6750210244648318,0.8926793222914031,0.8429656412610957,0.9447236180904522,0.694921434609269,0.617327405624638,0.7689839002623494
