model,dataset,family,corruption,severity,conf_thresh,n_images,n_boot,recall_mean,recall_ci_lo,recall_ci_hi,precision_mean,precision_ci_lo,precision_ci_hi,f1_mean,f1_ci_lo,f1_ci_hi
fasterrcnn,sard,clean,clean,0,0.96,862,1000,0.878882933189517,0.8576447529777292,0.8982097578674318,0.966880108428653,0.9545454545454546,0.9778898575490323,0.920758251429068,0.9057090260571948,0.934336871461371
fasterrcnn,sard,flood,water_glare,1,0.96,862,1000,0.8422332083680539,0.8190106345639131,0.8652299134551007,0.911618247435162,0.8924031901347095,0.9301420414983986,0.8755092908827512,0.8575599182413829,0.892308063737325
fasterrcnn,sard,flood,water_glare,2,0.96,862,1000,0.7683184625507588,0.7422587134271802,0.7950134761263042,0.7448850290025625,0.7185478765497231,0.770309340570629,0.756337565357612,0.7340542388129487,0.7779324213705447
fasterrcnn,sard,flood,water_glare,3,0.96,862,1000,0.6288178931003321,0.59871969673758,0.6608025321625485,0.5135438175418768,0.4829502788877789,0.5436436229000884,0.5652669238239537,0.5376930396776437,0.5923232655839656
fasterrcnn,sard,flood,turbidity_cast,1,0.96,862,1000,0.7989778507399262,0.7735262217399751,0.8217975762398437,0.9821421488303885,0.9735669986186815,0.9900227248199674,0.8810943901266958,0.8647808576993518,0.8967981676933267
fasterrcnn,sard,flood,turbidity_cast,2,0.96,862,1000,0.53851362776444,0.5061047574250773,0.5691375630906812,0.9802810227772545,0.9682196000930017,0.9899345637583892,0.6950108975464341,0.6666567871962062,0.7207688935031414
fasterrcnn,sard,flood,turbidity_cast,3,0.96,862,1000,0.1804650176457033,0.15535864893358203,0.2078603831000754,0.9808480606536594,0.9604456530904798,0.9955956755093011,0.30463556386877383,0.2679603178432981,0.34327602331345886
fasterrcnn,sard,flood,inundation,1,0.96,862,1000,0.8463030264139304,0.8246865075299662,0.866796033154217,0.9695063817350907,0.9578708141319418,0.9797178045833154,0.9036894894199268,0.8894420475346771,0.9173359410931984
fasterrcnn,sard,flood,inundation,2,0.96,862,1000,0.7304555341602532,0.7011594225188922,0.7594603147451249,0.9697213837151497,0.956409732710374,0.9821646199383721,0.833180375561813,0.8124318127077995,0.8544843844118579
fasterrcnn,sard,flood,inundation,3,0.96,862,1000,0.4884256223669497,0.4550593650096177,0.5196851592001815,0.9023852824732395,0.8783841036466399,0.9251259239136586,0.6336634343556343,0.602099956573592,0.6623045427656707
fasterrcnn,sard,wildfire,smoke_haze,1,0.96,862,1000,0.8112035101531251,0.7866659322893162,0.8347537219465224,0.9737694697395975,0.9622636420996926,0.9835169358632585,0.8850398830639967,0.8671734759966905,0.9007361919703614
fasterrcnn,sard,wildfire,smoke_haze,2,0.96,862,1000,0.6254785826180458,0.5973069141724894,0.6554276747243956,0.965069266122268,0.9514801400119797,0.9779095014294377,0.7589245001170186,0.7357190578321027,0.7832126857705348
fasterrcnn,sard,wildfire,smoke_haze,3,0.96,862,1000,0.30240962132655863,0.2726436346987912,0.3320759104870557,0.9849557218527941,0.9708410106899903,0.9970238095238095,0.4625284275795237,0.42713722348563155,0.4975910214852164
fasterrcnn,sard,wildfire,fire_warm_tint,1,0.96,862,1000,0.797669329646878,0.7739772614437495,0.820778387239996,0.9762404661354475,0.966740310929183,0.9857158487027197,0.8779192071271849,0.8616734810281116,0.8935971609907377
fasterrcnn,sard,wildfire,fire_warm_tint,2,0.96,862,1000,0.6037175445612385,0.5735349502657038,0.6320847129931202,0.977653297231646,0.9666964415691177,0.9875809790957055,0.7463667481982734,0.7213265288632936,0.7676352293481891
fasterrcnn,sard,wildfire,fire_warm_tint,3,0.96,862,1000,0.4063624731580115,0.375,0.4385511191772535,0.9692915056132,0.9528243323821287,0.98337394771821,0.5724626968116308,0.5401457371269676,0.604154821908126
fasterrcnn,sard,storm,rain_streaks,1,0.96,862,1000,0.8711404437330672,0.8511400895109045,0.8912528532667212,0.973349008503434,0.962768771059494,0.9824047217029488,0.9193843281065308,0.9059981203885309,0.9322915597376674
fasterrcnn,sard,storm,rain_streaks,2,0.96,862,1000,0.8525124051244477,0.8308259679351394,0.8733057207181204,0.9761509014889602,0.9665940906351536,0.9857595203519814,0.9101197440592822,0.8966751063485977,0.9238131450298751
fasterrcnn,sard,storm,rain_streaks,3,0.96,862,1000,0.7792681116517378,0.7537875214408233,0.8042749151547334,0.9771938425503126,0.967450775874689,0.9866838800917097,0.8670260198795194,0.8501454504721624,0.8841375464513764
fasterrcnn,sard,storm,motion_blur,1,0.96,862,1000,0.7720224832710509,0.7467368525967687,0.7979704200706619,0.9722996215976043,0.9610237091092894,0.9826594601449758,0.8605953772817508,0.8437131786881794,0.877824295428089
fasterrcnn,sard,storm,motion_blur,2,0.96,862,1000,0.5677199252989467,0.5345880981740173,0.6022140433136056,0.9675443004319718,0.9521635382970748,0.9818487264700777,0.7154205373864646,0.6876411591811478,0.742703727522023
fasterrcnn,sard,storm,motion_blur,3,0.96,862,1000,0.3977481397380729,0.36501398609746105,0.4322399747681765,0.9393197053373599,0.9155555555555556,0.9617021276595744,0.5586442176796181,0.523807995598753,0.5932427166587152
fasterrcnn,sard,storm,low_light,1,0.96,862,1000,0.4187126813909648,0.3887854704728152,0.45181337099227165,0.9523053350342079,0.9301251519380542,0.9706533107200905,0.581506742272886,0.5509978875495457,0.6139231555986934
fasterrcnn,sard,storm,low_light,2,0.96,862,1000,0.07659911129228206,0.06043739222708582,0.09352568459731747,0.9228022363565913,0.8599743589743589,0.9740424132829196,0.14134344156137296,0.11329837066846474,0.16997314093111435
fasterrcnn,sard,storm,low_light,3,0.96,862,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fasterrcnn,sard,earthquake,dust_haze,1,0.96,862,1000,0.7356704798637642,0.7069719028378102,0.7634408602150538,0.9697174600727974,0.9580226722049152,0.9807240500463391,0.8365633794106883,0.8164076721950247,0.8562720302601576
fasterrcnn,sard,earthquake,dust_haze,2,0.96,862,1000,0.4719638196061826,0.43929328930968886,0.5061744899980194,0.9612535450103024,0.9438137843568555,0.9763115678714414,0.6329224722173462,0.6013689802299701,0.6634109622024688
fasterrcnn,sard,earthquake,dust_haze,3,0.96,862,1000,0.16011496447135892,0.13603510026967625,0.18410994476243844,0.9777006026245695,0.9559643605870021,0.9947368421052631,0.2749737003999278,0.23833152173913044,0.3099315966154695
rtdetr,sard,clean,clean,0,0.6,862,1000,0.8881093174187629,0.8694021446819954,0.9065278917046822,0.972002443347493,0.9617704757959522,0.982284130294067,0.9281413082485015,0.9152220373337716,0.9402697495183044
rtdetr,sard,flood,water_glare,1,0.6,862,1000,0.8503319267101193,0.8279415617568421,0.8734425797912168,0.916326987124922,0.8970545319295034,0.9345723913211633,0.8820540643325303,0.8635205654560493,0.8992004797359643
rtdetr,sard,flood,water_glare,2,0.6,862,1000,0.7895552144386268,0.7644470754898635,0.8178579838544919,0.839353241106542,0.8112599191382796,0.8635480804056501,0.8136216492560964,0.791753222154681,0.8341882925611106
rtdetr,sard,flood,water_glare,3,0.6,862,1000,0.6463037402458722,0.6167696270524118,0.6741736964394114,0.7511298649926978,0.7173632193912266,0.7806262902426211,0.694693121564045,0.6683774317399905,0.7202747607527336
rtdetr,sard,flood,turbidity_cast,1,0.6,862,1000,0.7912425763261349,0.7651889776077153,0.816337215514478,0.9760372692253901,0.9655536959553696,0.9852150362388311,0.8739243887576357,0.8575772169379732,0.89039161149071
rtdetr,sard,flood,turbidity_cast,2,0.6,862,1000,0.47526095159857046,0.4406197007265098,0.5086983720836523,0.9613290302819533,0.9439293468935205,0.9771428571428571,0.6358919658452625,0.6028558618317611,0.6666666666666666
rtdetr,sard,flood,turbidity_cast,3,0.6,862,1000,0.07368043345467211,0.05698323639157155,0.09083494730046453,0.7871497642292018,0.7020978325710877,0.8600425531914893,0.1346439847519681,0.10590048153368026,0.1637591339716038
