model,dataset,family,corruption,severity,conf_thresh,loc_stability_iou,loc_center_shift,loc_iou_clean,loc_iou_corrupt,loc_iou_drop,n_common
fasterrcnn,heridal,flood,water_glare,1,0.99,0.9960590963668011,0.0011395312601130269,0.8377398394523783,0.8369395854625296,0.0008002539898487315,235
fasterrcnn,heridal,flood,water_glare,2,0.99,0.9959837552867358,0.000843624136287996,0.8348854324988675,0.8343862647245704,0.000499167774297038,237
fasterrcnn,heridal,flood,water_glare,3,0.99,0.9881762251691911,0.003190630982948989,0.8356463703715685,0.8294950333035108,0.006151337068057705,206
fasterrcnn,heridal,flood,turbidity_cast,1,0.99,0.9531940809741819,0.010195222622804487,0.845881225836223,0.8374690729029038,0.008412152933319206,221
fasterrcnn,heridal,flood,turbidity_cast,2,0.99,0.9218930332891403,0.017345395370108645,0.8692362212365673,0.8522453048536854,0.01699091638288186,124
fasterrcnn,heridal,flood,turbidity_cast,3,0.99,0.9184518158435822,0.021739777497714385,0.8972763270139694,0.8945009261369705,0.0027754008769989014,8
fasterrcnn,heridal,flood,inundation,1,0.99,0.9837631146958534,0.0037968450414946663,0.8388443475073957,0.8345713846226956,0.004272962884700027,235
fasterrcnn,heridal,flood,inundation,2,0.99,0.9677866394679571,0.00764134089306469,0.8364754823065296,0.8257124574528527,0.010763024853676861,194
fasterrcnn,heridal,flood,inundation,3,0.99,0.9696284166169823,0.006817782636368334,0.8430041227865657,0.8332113104129056,0.009792812373660031,109
fasterrcnn,heridal,wildfire,smoke_haze,1,0.99,0.9551156194864121,0.00985270328372892,0.8420296358851205,0.8354260483674244,0.0066035875176960745,226
fasterrcnn,heridal,wildfire,smoke_haze,2,0.99,0.9387783858665201,0.012255381302756453,0.851804087674895,0.8488360539425251,0.002968033732369868,172
fasterrcnn,heridal,wildfire,smoke_haze,3,0.99,0.921455597390934,0.017776558187562137,0.8714540454806113,0.870374899737689,0.0010791457429223383,49
fasterrcnn,heridal,wildfire,fire_warm_tint,1,0.99,0.9582704088422987,0.008248495594080951,0.846235200299157,0.8366849904590182,0.009550209840138768,225
fasterrcnn,heridal,wildfire,fire_warm_tint,2,0.99,0.9352070838212967,0.013450704933044713,0.8524256749078631,0.8370284286017219,0.015397246306141255,192
fasterrcnn,heridal,wildfire,fire_warm_tint,3,0.99,0.9261879249855324,0.015958567882491344,0.8623586107183385,0.8478006998697917,0.014557910848546851,135
fasterrcnn,heridal,storm,rain_streaks,1,0.99,0.9194198272846363,0.017270195958392125,0.8447680892767729,0.8325494436754121,0.012218645601360878,216
fasterrcnn,heridal,storm,rain_streaks,2,0.99,0.8265483869265203,0.043060740806825766,0.8538191743092994,0.7833244237181258,0.0704947505911736,73
fasterrcnn,heridal,storm,rain_streaks,3,0.99,0.7541623711585999,0.048785947263240814,0.9083542823791504,0.7558499574661255,0.1525043249130249,1
fasterrcnn,heridal,storm,motion_blur,1,0.99,0.711549311876297,0.06192849623039365,0.9222157597541809,0.7292570322751999,0.19295872747898102,4
fasterrcnn,heridal,storm,motion_blur,2,0.99,nan,nan,nan,nan,nan,0
fasterrcnn,heridal,storm,motion_blur,3,0.99,nan,nan,nan,nan,nan,0
fasterrcnn,heridal,storm,low_light,1,0.99,0.8804902556716212,0.02872404485126797,0.8538092374801636,0.8236675747972451,0.030141662682918513,151
fasterrcnn,heridal,storm,low_light,2,0.99,0.8301218814320035,0.04433826990942988,0.8627205424838595,0.8202687121099896,0.0424518303738699,36
fasterrcnn,heridal,storm,low_light,3,0.99,nan,nan,nan,nan,nan,0
fasterrcnn,heridal,earthquake,dust_haze,1,0.99,0.9493374496993452,0.010678503015579996,0.8495895691437296,0.8408661145384949,0.008723454605234715,202
fasterrcnn,heridal,earthquake,dust_haze,2,0.99,0.9233939642536229,0.01564719501791466,0.8567268170159439,0.8466638496209835,0.010062967394960376,116
fasterrcnn,heridal,earthquake,dust_haze,3,0.99,0.9247321667093219,0.017527396307383297,0.8788389816428676,0.8705461368416295,0.008292844801238042,33
rtdetr,heridal,flood,water_glare,1,0.65,0.9935378972440958,0.0015001097486910808,0.8387496545910835,0.8367290815804154,0.0020205730106681585,256
rtdetr,heridal,flood,water_glare,2,0.65,0.9917800662564297,0.0018960950241798142,0.8406179112546585,0.8373135003389097,0.0033044109157487345,255
rtdetr,heridal,flood,water_glare,3,0.65,0.9846043915492002,0.0045384495322247,0.8400413623839751,0.833779382331489,0.006261980052486127,223
rtdetr,heridal,flood,turbidity_cast,1,0.65,0.9581519811722026,0.009444079381278832,0.8465965996227504,0.8462011487414148,0.000395450881335524,239
rtdetr,heridal,flood,turbidity_cast,2,0.65,0.9261469926662788,0.01705460025703055,0.8525504234308254,0.8367143872969165,0.015836036133908937,167
rtdetr,heridal,flood,turbidity_cast,3,0.65,0.9228278483663287,0.01785740490803229,0.8733031962599073,0.8483395917075021,0.024963604552405205,14
rtdetr,heridal,flood,inundation,1,0.65,0.9857404453544324,0.0030756208045145165,0.8401064875025402,0.8377818684468324,0.0023246190557077995,261
rtdetr,heridal,flood,inundation,2,0.65,0.9707231793487281,0.006818738964659637,0.8429365976337801,0.8385655391111708,0.004371058522609328,228
rtdetr,heridal,flood,inundation,3,0.65,0.9503203165531159,0.011582612317185218,0.8521995373566945,0.8388317958513896,0.013367741505304953,150
rtdetr,heridal,wildfire,smoke_haze,1,0.65,0.9566580419205437,0.009774271674547537,0.8434514238322077,0.8392272820650053,0.004224141767202427,242
rtdetr,heridal,wildfire,smoke_haze,2,0.65,0.9360408331498061,0.01462182276830363,0.8503525838403418,0.8392349157002893,0.01111766814005255,202
