model,dataset,family,corruption,severity,conf_thresh,loc_stability_iou,loc_center_shift,loc_iou_clean,loc_iou_corrupt,loc_iou_drop,n_common
fasterrcnn,sard,flood,water_glare,1,0.96,0.9757942837865456,0.00573485240416881,0.8441044697295065,0.8372716468313466,0.006832822898159896,920
fasterrcnn,sard,flood,water_glare,2,0.96,0.9522280648403871,0.011830027772519796,0.8480286361487952,0.8286015686892443,0.019427067459550917,841
fasterrcnn,sard,flood,water_glare,3,0.96,0.9272304752508105,0.019246679904142888,0.8480881403974397,0.8159953715846354,0.03209276881280432,687
fasterrcnn,sard,flood,turbidity_cast,1,0.96,0.9461900220598494,0.01045416716213471,0.8501318717684064,0.8424670096124921,0.0076648621559143315,875
fasterrcnn,sard,flood,turbidity_cast,2,0.96,0.9113119112796524,0.01811559063945319,0.8659346858863117,0.8421842248058643,0.023750461080447427,588
fasterrcnn,sard,flood,turbidity_cast,3,0.96,0.8777832169922031,0.020157053178694213,0.8700330263497879,0.8270885512536886,0.04294447509609922,196
fasterrcnn,sard,flood,inundation,1,0.96,0.9679568946811631,0.0072630543663180554,0.845036863573418,0.8385377564862322,0.006499107087185818,927
fasterrcnn,sard,flood,inundation,2,0.96,0.94068519952912,0.01362641051688793,0.8464158812408927,0.8297982374077323,0.016617643833160445,795
fasterrcnn,sard,flood,inundation,3,0.96,0.9071438670494503,0.022391252313536142,0.8508956533177454,0.8132465193818387,0.03764913393590674,532
fasterrcnn,sard,wildfire,smoke_haze,1,0.96,0.9462253762123821,0.010429608537239662,0.8501560129560866,0.8427197469381599,0.007436266017926685,888
fasterrcnn,sard,wildfire,smoke_haze,2,0.96,0.9183420237393407,0.016438743773511167,0.862537625937434,0.8428740546717282,0.019663571265705837,684
fasterrcnn,sard,wildfire,smoke_haze,3,0.96,0.8908310196844929,0.021503121378734787,0.8706191607627524,0.8324095199266112,0.0382096408361412,332
fasterrcnn,sard,wildfire,fire_warm_tint,1,0.96,0.9382273691353247,0.01312137219660413,0.8487829544153683,0.8384238412563197,0.010359113159048583,873
fasterrcnn,sard,wildfire,fire_warm_tint,2,0.96,0.9125551662294034,0.018119884982528124,0.8579074432946977,0.8348989914625119,0.023008451832185806,663
fasterrcnn,sard,wildfire,fire_warm_tint,3,0.96,0.8872900346603094,0.024975557347332575,0.8656514667876632,0.825563494266416,0.040087972521247295,446
fasterrcnn,sard,storm,rain_streaks,1,0.96,0.9839816376770155,0.0028424590927058125,0.8427251276539606,0.8418556868967455,0.0008694407572150675,953
fasterrcnn,sard,storm,rain_streaks,2,0.96,0.9564113345432383,0.008153471340494439,0.8451501043535378,0.8414290392769367,0.003721065076601082,933
fasterrcnn,sard,storm,rain_streaks,3,0.96,0.922612972881483,0.01537075555542994,0.8526303079657773,0.8383541383138134,0.014276169651963877,851
fasterrcnn,sard,storm,motion_blur,1,0.96,0.9066946857969438,0.018806203556603215,0.8515017739101147,0.8334831747617971,0.018018599148317604,842
fasterrcnn,sard,storm,motion_blur,2,0.96,0.8544921568805172,0.02987238402129151,0.8644773722656311,0.8101584270115821,0.05431894525404901,620
fasterrcnn,sard,storm,motion_blur,3,0.96,0.8216045870009913,0.03497412787999214,0.8685269199926918,0.7902755492597545,0.07825137073293731,436
fasterrcnn,sard,storm,low_light,1,0.96,0.8745495153018852,0.02645565723987146,0.8672988809531551,0.8203832418830307,0.046915639070124415,459
fasterrcnn,sard,storm,low_light,2,0.96,0.8098113614888418,0.040840166479548703,0.8843673566977183,0.7683051171756926,0.11606223952202566,84
fasterrcnn,sard,storm,low_light,3,0.96,nan,nan,nan,nan,nan,0
fasterrcnn,sard,earthquake,dust_haze,1,0.96,0.9279811475587928,0.015022566378089854,0.8534180278363435,0.8392512463634799,0.014166781472863543,805
fasterrcnn,sard,earthquake,dust_haze,2,0.96,0.8951042785635308,0.02133927458023105,0.8637801988673626,0.8292782538402934,0.03450194502706916,517
fasterrcnn,sard,earthquake,dust_haze,3,0.96,0.8600913138048989,0.02670498341188899,0.8654513372693743,0.805318010875157,0.06013332639421731,175
rtdetr,sard,flood,water_glare,1,0.6,0.9753826507582731,0.005646962554191675,0.8427903452011946,0.8354941059878362,0.007296239213358313,929
rtdetr,sard,flood,water_glare,2,0.6,0.9459441412735536,0.01488454689411295,0.8446632740814561,0.8212015196078085,0.023461754473647622,865
rtdetr,sard,flood,water_glare,3,0.6,0.9141812775357925,0.02381617873665313,0.8512181610122281,0.8064955845264132,0.0447225764858149,706
rtdetr,sard,flood,turbidity_cast,1,0.6,0.937329759487527,0.013045121784772148,0.8480689575906434,0.8376557479704047,0.010413209620238728,865
rtdetr,sard,flood,turbidity_cast,2,0.6,0.9001159677103562,0.02176788814780231,0.8621657877817921,0.8280555449454721,0.034110242836320026,522
rtdetr,sard,flood,turbidity_cast,3,0.6,0.8975652618172728,0.021032754334701614,0.8608523320268702,0.8345787841596721,0.026273547867198044,81
rtdetr,sard,flood,inundation,1,0.6,0.9661406369214467,0.007568994812409843,0.8436869362148737,0.8354939626819018,0.008192973532971881,921
rtdetr,sard,flood,inundation,2,0.6,0.9388356549724651,0.014901053258668332,0.8470638082285595,0.8247106345595827,0.022353173668976822,785
rtdetr,sard,flood,inundation,3,0.6,0.8977343565570618,0.027799497789074992,0.8485020050507581,0.8022934656419202,0.046208539408837956,501
rtdetr,sard,wildfire,smoke_haze,1,0.6,0.9257907762246973,0.015903075072496636,0.8483012915358824,0.8327492030227885,0.015552088513093865,850
rtdetr,sard,wildfire,smoke_haze,2,0.6,0.9021652649142848,0.021047582644743344,0.8535258640104265,0.8266776520814468,0.02684821192897968,670
rtdetr,sard,wildfire,smoke_haze,3,0.6,0.8757979253360203,0.025874931640989546,0.8590199313844953,0.8178056296280453,0.04121430175645002,350
rtdetr,sard,wildfire,fire_warm_tint,1,0.6,0.9212580914750244,0.016875426682280235,0.8500476888183391,0.8309039156695809,0.01914377314875826,792
rtdetr,sard,wildfire,fire_warm_tint,2,0.6,0.8949470049378896,0.022384565324455704,0.8592422760949276,0.8241580907661136,0.03508418532881408,404
rtdetr,sard,wildfire,fire_warm_tint,3,0.6,0.8736435006293215,0.030296962682966343,0.8630220806875895,0.8101515811543132,0.05287049953327627,129
rtdetr,sard,storm,rain_streaks,1,0.6,0.9882490856745808,0.002254008872283127,0.8406762547099713,0.8399487967958156,0.000727457914155738,970
rtdetr,sard,storm,rain_streaks,2,0.6,0.9604444057682611,0.0074735898942092874,0.8420121147762012,0.8406353561763723,0.0013767585998288867,958
rtdetr,sard,storm,rain_streaks,3,0.6,0.920579940634347,0.016002515041828536,0.8471814673455035,0.835123455654728,0.012058011690775472,915
