model,dataset,family,corruption,rpd_recall,rpd_recall_family_mean
fasterrcnn,heridal,earthquake,dust_haze,0.5338645418326693,0.5338645418326693
fasterrcnn,heridal,flood,inundation,0.2775564409030544,0.301460823373174
fasterrcnn,heridal,flood,turbidity_cast,0.5298804780876495,0.301460823373174
fasterrcnn,heridal,flood,water_glare,0.09694555112881804,0.301460823373174
fasterrcnn,heridal,storm,low_light,0.7490039840637451,0.783975210270031
fasterrcnn,heridal,storm,motion_blur,0.9933598937583001,0.783975210270031
fasterrcnn,heridal,storm,rain_streaks,0.6095617529880477,0.783975210270031
fasterrcnn,heridal,wildfire,fire_warm_tint,0.2656042496679947,0.3346613545816733
fasterrcnn,heridal,wildfire,smoke_haze,0.40371845949535184,0.3346613545816733
fasterrcnn,sard,earthquake,dust_haze,0.4809820193637621,0.4809820193637621
fasterrcnn,sard,flood,inundation,0.2164591977869986,0.26371599815583213
fasterrcnn,sard,flood,turbidity_cast,0.4242738589211618,0.26371599815583213
fasterrcnn,sard,flood,water_glare,0.15041493775933604,0.26371599815583213
fasterrcnn,sard,storm,low_light,0.8118948824343016,0.4012217611802674
fasterrcnn,sard,storm,motion_blur,0.34094052558782845,0.4012217611802674
fasterrcnn,sard,storm,rain_streaks,0.05082987551867216,0.4012217611802674
fasterrcnn,sard,wildfire,fire_warm_tint,0.31362378976486854,0.3269363762102351
fasterrcnn,sard,wildfire,smoke_haze,0.3402489626556016,0.3269363762102351
rtdetr,heridal,earthquake,dust_haze,0.5680399500624219,0.5680399500624219
rtdetr,heridal,flood,inundation,0.17353308364544326,0.231377444860591
rtdetr,heridal,flood,turbidity_cast,0.4581772784019975,0.231377444860591
rtdetr,heridal,flood,water_glare,0.062421972534332126,0.231377444860591
rtdetr,heridal,storm,low_light,1.0,0.8743237619642115
rtdetr,heridal,storm,motion_blur,0.9987515605493135,0.8743237619642115
rtdetr,heridal,storm,rain_streaks,0.6242197253433208,0.8743237619642115
rtdetr,heridal,wildfire,fire_warm_tint,0.6342072409488141,0.4594257178526842
rtdetr,heridal,wildfire,smoke_haze,0.2846441947565544,0.4594257178526842
rtdetr,sard,earthquake,dust_haze,0.6303901437371663,0.6303901437371663
rtdetr,sard,flood,inundation,0.24093086926762494,0.29306411133926535
rtdetr,sard,flood,turbidity_cast,0.4965776865160849,0.29306411133926535
rtdetr,sard,flood,water_glare,0.14168377823408626,0.29306411133926535
rtdetr,sard,storm,low_light,0.8976728268309379,0.4398813597992243
rtdetr,sard,storm,motion_blur,0.3997262149212868,0.4398813597992243
rtdetr,sard,storm,rain_streaks,0.02224503764544836,0.4398813597992243
rtdetr,sard,wildfire,fire_warm_tint,0.5458590006844627,0.4512320328542095
rtdetr,sard,wildfire,smoke_haze,0.3566050650239562,0.4512320328542095
yolo11,heridal,earthquake,dust_haze,0.5714285714285715,0.5714285714285715
yolo11,heridal,flood,inundation,0.2277992277992278,0.24624624624624625
yolo11,heridal,flood,turbidity_cast,0.43243243243243246,0.24624624624624625
yolo11,heridal,flood,water_glare,0.07850707850707853,0.24624624624624625
yolo11,heridal,storm,low_light,0.9794079794079794,0.8288288288288288
yolo11,heridal,storm,motion_blur,0.9446589446589447,0.8288288288288288
yolo11,heridal,storm,rain_streaks,0.5624195624195625,0.8288288288288288
yolo11,heridal,wildfire,fire_warm_tint,0.5057915057915058,0.40540540540540543
yolo11,heridal,wildfire,smoke_haze,0.305019305019305,0.40540540540540543
yolo11,sard,earthquake,dust_haze,0.6240191061071307,0.6240191061071307
yolo11,sard,flood,inundation,0.2142613442511088,0.252018651199818
yolo11,sard,flood,turbidity_cast,0.41521664960764243,0.252018651199818
yolo11,sard,flood,water_glare,0.12657795974070277,0.252018651199818
yolo11,sard,storm,low_light,0.9283520982599796,0.41305583987262595
yolo11,sard,storm,motion_blur,0.29546229955646536,0.41305583987262595
yolo11,sard,storm,rain_streaks,0.015353121801432923,0.41305583987262595
yolo11,sard,wildfire,fire_warm_tint,0.5892186966905493,0.44489935175707945
yolo11,sard,wildfire,smoke_haze,0.3005800068236097,0.44489935175707945
