model,dataset,family,corruption,severity,conf_thresh,n_images,n_boot,recall_mean,recall_ci_lo,recall_ci_hi,precision_mean,precision_ci_lo,precision_ci_hi,f1_mean,f1_ci_lo,f1_ci_hi
yolo11_seed123,sard,clean,clean,0,0.3,862,1000,0.8843628132265665,0.8642522746508676,0.9024182906257727,0.9621570671005166,0.9498500370547974,0.9738373555285199,0.9215916523367137,0.9074887917736786,0.9335262633892263
yolo11_seed123,sard,flood,water_glare,1,0.3,862,1000,0.8520158128800481,0.829766941501512,0.8735948837639229,0.9195877779910472,0.9032258064516129,0.9357364841443444,0.8844767638410829,0.8678418294716593,0.901234997166847
yolo11_seed123,sard,flood,water_glare,2,0.3,862,1000,0.7941619120263002,0.7678716367771483,0.8185257199382634,0.8964487651250138,0.8758539150676448,0.9151404363221313,0.8421582421320314,0.822310718964779,0.8602995476326362
yolo11_seed123,sard,flood,water_glare,3,0.3,862,1000,0.6569131428899347,0.6276963745702094,0.6873228703928004,0.8817144338394127,0.8587216910586476,0.9044768866574371,0.7528073973584637,0.7289998409259301,0.7779047985181561
yolo11_seed123,sard,flood,turbidity_cast,1,0.3,862,1000,0.783387694760258,0.7563130732996914,0.8098908926790198,0.9598086754107494,0.9462093143724023,0.9721316425120773,0.8626153480391254,0.8430687022900762,0.8811041332389615
yolo11_seed123,sard,flood,turbidity_cast,2,0.3,862,1000,0.5456812840472913,0.5133634084970015,0.5790089200382287,0.9723417796524896,0.9589812901120418,0.9843994435687307,0.6989067164105859,0.6706947493079286,0.7265620517808806
yolo11_seed123,sard,flood,turbidity_cast,3,0.3,862,1000,0.1732233183392096,0.15101239274712477,0.19668492478744276,0.9894735638498511,0.97395492473822,1.0,0.29465577255032893,0.2617410773812169,0.32794801578802435
yolo11_seed123,sard,flood,inundation,1,0.3,862,1000,0.8449847072666026,0.8229688490805326,0.8660739179500797,0.9647126471964008,0.9522776381950205,0.9758158261971627,0.9008506413432572,0.8855758341451534,0.915089876685617
yolo11_seed123,sard,flood,inundation,2,0.3,862,1000,0.7425833325716336,0.7163848809096116,0.7698278735948865,0.9366169461305669,0.9205429104353771,0.9523297934044082,0.8283325104185064,0.8089065053994687,0.8479403159393865
yolo11_seed123,sard,flood,inundation,3,0.3,862,1000,0.5001064675619119,0.4661154485049834,0.5332778939596966,0.8895320760095614,0.8637703204122041,0.9150962633506725,0.6401232904055546,0.6092278177458035,0.6707117941726836
yolo11_seed123,sard,wildfire,smoke_haze,1,0.3,862,1000,0.8103637722222331,0.7865411324010736,0.8339416895466416,0.9674536054913392,0.9556640648011783,0.9774953782630901,0.8819198870781818,0.8660564457531836,0.897739429695182
yolo11_seed123,sard,wildfire,smoke_haze,2,0.3,862,1000,0.662194869577386,0.6332944355677007,0.6918820918197788,0.9528097422331204,0.9366439927690738,0.9678738631405847,0.7812637305849264,0.7573989353540361,0.8037210582115685
yolo11_seed123,sard,wildfire,smoke_haze,3,0.3,862,1000,0.4296581246131231,0.3973051320206747,0.4624738623917156,0.9516203497113563,0.9308164005805516,0.9681553937923365,0.5918415901909221,0.5602576168700151,0.6241498519490827
yolo11_seed123,sard,wildfire,fire_warm_tint,1,0.3,862,1000,0.6840739221385144,0.6554137379625834,0.7130629933958323,0.9604214630611211,0.9464910135152057,0.9741284480240371,0.7989419588601452,0.7775951661735837,0.820718016338566
yolo11_seed123,sard,wildfire,fire_warm_tint,2,0.3,862,1000,0.323678386272128,0.29425379499470966,0.35655380716765306,0.9695596342394295,0.9483640297906603,0.9868463773069036,0.4851077076013247,0.44953353819259223,0.5216850598935227
yolo11_seed123,sard,wildfire,fire_warm_tint,3,0.3,862,1000,0.11463275536166366,0.09452479061526897,0.13345779870530258,0.9614466700628932,0.925,0.9919370967741935,0.20470663968133931,0.1720951487226927,0.23491624472510747
yolo11_seed123,sard,storm,rain_streaks,1,0.3,862,1000,0.883502735383724,0.8633761049153242,0.9041985362633949,0.9652537407640114,0.9532796109521732,0.9759309297624674,0.9225409332912503,0.9088178740000757,0.9361498348869289
yolo11_seed123,sard,storm,rain_streaks,2,0.3,862,1000,0.8818664432768626,0.8599068257443577,0.9020337458962121,0.9680191379228423,0.95703046875,0.9787920810813122,0.9229069534494022,0.9078081017526383,0.9368563823395252
yolo11_seed123,sard,storm,rain_streaks,3,0.3,862,1000,0.8469278780226693,0.8250981347891078,0.8678916896766723,0.9628793909727369,0.9501026520797593,0.9742539265715392,0.9011540092254925,0.8866086708796994,0.9156079266444809
yolo11_seed123,sard,storm,motion_blur,1,0.3,862,1000,0.7963119709401641,0.7710251558690209,0.8220758986774327,0.9597373811039207,0.9463333423958294,0.9724061810154525,0.87036849527189,0.8525974817469313,0.8882078593588416
yolo11_seed123,sard,storm,motion_blur,2,0.3,862,1000,0.6191697672893517,0.5879482706800113,0.650413763066202,0.9448863212258718,0.9281740682152904,0.9608701724556716,0.7480032329522216,0.7224835186608387,0.772167277462324
yolo11_seed123,sard,storm,motion_blur,3,0.3,862,1000,0.4670925556365114,0.4351690651655968,0.500453350404266,0.9218516128113858,0.8973836717978053,0.9446341482901887,0.6198624687667311,0.5892012819728516,0.6520763373682156
yolo11_seed123,sard,storm,low_light,1,0.3,862,1000,0.23469589346146053,0.2065717552191149,0.2653699723506286,0.8214123307780831,0.7736759799833194,0.8639518770471151,0.3648958311907551,0.3273664790526621,0.40383401643881894
yolo11_seed123,sard,storm,low_light,2,0.3,862,1000,0.02066337873140845,0.012275050250446739,0.029467105553350092,0.5873301940872898,0.4318181818181818,0.7443313953488371,0.03988470286909978,0.02385157423806206,0.05636194723151246
yolo11_seed123,sard,storm,low_light,3,0.3,862,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
yolo11_seed123,sard,earthquake,dust_haze,1,0.3,862,1000,0.6587144490323223,0.6286680911680912,0.687633119740078,0.9525030210653619,0.9373243762298032,0.967035855077905,0.7787352763254153,0.7558370942357582,0.8000050581689429
yolo11_seed123,sard,earthquake,dust_haze,2,0.3,862,1000,0.24038071636630165,0.21267037744796535,0.26740533562822716,0.9360231866914679,0.9041013510332815,0.9631030225743433,0.38232656664084125,0.3457124920869382,0.41651659298065424
yolo11_seed123,sard,earthquake,dust_haze,3,0.3,862,1000,0.0422140870044568,0.030780721161848747,0.05383304720401418,0.9581742683338637,0.8947088465845465,1.0,0.08080494453659068,0.059509060920785464,0.1020007740071803
yolo11_seed17,sard,clean,clean,0,0.3,862,1000,0.8908565912340889,0.8696033390678761,0.9116321996044453,0.9551466336232882,0.9413968469232074,0.9683189006974091,0.9218523207768035,0.9068113120074177,0.9367579806547797
yolo11_seed17,sard,flood,water_glare,1,0.3,862,1000,0.8585896038556154,0.8369945775873611,0.8799310232777975,0.8931182788689783,0.873556161506673,0.911850734004393,0.8754744110781065,0.8587305324501302,0.8915781997810568
yolo11_seed17,sard,flood,water_glare,2,0.3,862,1000,0.8090106027296915,0.7831702029131935,0.8349131686806586,0.8614197493659187,0.8381319924575739,0.8842236218257795,0.8343340439635828,0.8148104697846603,0.8553151621373761
yolo11_seed17,sard,flood,water_glare,3,0.3,862,1000,0.6671261405522694,0.636359396200814,0.6967207277435721,0.7828540090485749,0.7544488324175824,0.8113717532467533,0.7202945029363582,0.6950534369291594,0.7478100842201418
yolo11_seed17,sard,flood,turbidity_cast,1,0.3,862,1000,0.7959276623693415,0.7713185834580025,0.8201079822954823,0.9594570252732445,0.9460014185274106,0.9717395852283064,0.8700265527622976,0.8520364665573736,0.8853832075956891
yolo11_seed17,sard,flood,turbidity_cast,2,0.3,862,1000,0.5744525184739566,0.5430416272469253,0.6055644936796699,0.9471043875613955,0.9290218386104295,0.9630767325444884,0.7150192705850053,0.6874236495939988,0.7407417911388415
yolo11_seed17,sard,flood,turbidity_cast,3,0.3,862,1000,0.19176546036035688,0.16697575430304837,0.21685957685312932,0.9506979371754596,0.9190409717186366,0.9774800024239486,0.3189795378772939,0.28389783814717245,0.35404242396461233
yolo11_seed17,sard,flood,inundation,1,0.3,862,1000,0.8609673538749444,0.8398472928717582,0.881967219384828,0.9517007650988615,0.9370074739133218,0.9653079896647087,0.9040308362747177,0.8888862256311921,0.9186282718829158
yolo11_seed17,sard,flood,inundation,2,0.3,862,1000,0.7432240465792743,0.7174266098280141,0.7675462570133723,0.9247880443443673,0.9035449995531325,0.9427400045232851,0.8240657621348896,0.8036978734506502,0.8439201162710551
yolo11_seed17,sard,flood,inundation,3,0.3,862,1000,0.4947667997069141,0.46573434908789385,0.5257835604454123,0.8808190647413529,0.8533306451612904,0.9056855345911949,0.633486467102626,0.6077787146277724,0.6617149191910988
