model,dataset,corruption,severity,recall_before,recall_after,delta,recall_after_ci_lo,recall_after_ci_hi,conf_thresh_before,conf_thresh_after,trained_on
fasterrcnn,sard,clean,0,0.8788,0.8997,0.021,0.8808,0.9176,0.96,0.65,no
fasterrcnn,sard,water_glare,1,0.8423,0.8624,0.0201,0.8408,0.8811,0.96,0.65,no
fasterrcnn,sard,water_glare,2,0.7685,0.7894,0.021,0.7635,0.8137,0.96,0.65,no
fasterrcnn,sard,water_glare,3,0.629,0.65,0.021,0.6223,0.6796,0.96,0.65,no
fasterrcnn,sard,turbidity_cast,1,0.7995,0.8423,0.0428,0.8192,0.8631,0.96,0.65,no
fasterrcnn,sard,turbidity_cast,2,0.5378,0.6381,0.1003,0.6061,0.6664,0.96,0.65,no
fasterrcnn,sard,turbidity_cast,3,0.1805,0.1951,0.0146,0.1703,0.2203,0.96,0.65,no
fasterrcnn,sard,inundation,1,0.8469,0.8733,0.0264,0.8522,0.8914,0.96,0.65,no
fasterrcnn,sard,inundation,2,0.7302,0.7858,0.0556,0.7596,0.8114,0.96,0.65,no
fasterrcnn,sard,inundation,3,0.4886,0.4995,0.0109,0.4692,0.5313,0.96,0.65,no
fasterrcnn,sard,smoke_haze,1,0.8113,0.8624,0.051,0.8402,0.8832,0.96,0.65,no
fasterrcnn,sard,smoke_haze,2,0.6253,0.7384,0.113,0.7116,0.7673,0.96,0.65,no
fasterrcnn,sard,smoke_haze,3,0.3026,0.3874,0.0848,0.3553,0.4186,0.96,0.65,no
fasterrcnn,sard,fire_warm_tint,1,0.7985,0.8268,0.0283,0.8021,0.8493,0.96,0.65,no
fasterrcnn,sard,fire_warm_tint,2,0.6044,0.6208,0.0164,0.5907,0.6518,0.96,0.65,no
fasterrcnn,sard,fire_warm_tint,3,0.4066,0.382,-0.0246,0.3487,0.4149,0.96,0.65,no
fasterrcnn,sard,rain_streaks,1,0.8715,0.8952,0.0237,0.8764,0.915,0.96,0.65,no
fasterrcnn,sard,rain_streaks,2,0.8523,0.8833,0.031,0.8625,0.9022,0.96,0.65,no
fasterrcnn,sard,rain_streaks,3,0.7785,0.8259,0.0474,0.8011,0.8505,0.96,0.65,no
fasterrcnn,sard,motion_blur,1,0.7721,0.8104,0.0383,0.7874,0.8347,0.96,0.65,no
fasterrcnn,sard,motion_blur,2,0.567,0.619,0.052,0.5871,0.649,0.96,0.65,no
fasterrcnn,sard,motion_blur,3,0.3984,0.4175,0.0191,0.381,0.4514,0.96,0.65,no
fasterrcnn,sard,low_light,1,0.4193,0.8432,0.4239,0.8183,0.8655,0.96,0.65,yes
fasterrcnn,sard,low_light,2,0.0766,0.6408,0.5643,0.6123,0.6691,0.96,0.65,yes
fasterrcnn,sard,low_light,3,0.0,0.1212,0.1212,0.1007,0.1404,0.96,0.65,no
fasterrcnn,sard,dust_haze,1,0.7356,0.7849,0.0492,0.7585,0.8086,0.96,0.65,no
fasterrcnn,sard,dust_haze,2,0.4722,0.5132,0.041,0.4797,0.5461,0.96,0.65,no
fasterrcnn,sard,dust_haze,3,0.1604,0.1741,0.0137,0.1486,0.2005,0.96,0.65,no
rtdetr,sard,clean,0,0.8879,0.8578,-0.0301,0.8369,0.8783,0.6,0.55,no
rtdetr,sard,water_glare,1,0.8505,0.8159,-0.0346,0.793,0.8405,0.6,0.55,no
rtdetr,sard,water_glare,2,0.7894,0.7584,-0.031,0.7329,0.7859,0.6,0.55,no
rtdetr,sard,water_glare,3,0.6463,0.6272,-0.0191,0.5959,0.6567,0.6,0.55,no
rtdetr,sard,turbidity_cast,1,0.7912,0.7165,-0.0747,0.687,0.7437,0.6,0.55,no
rtdetr,sard,turbidity_cast,2,0.4758,0.3601,-0.1158,0.3269,0.3932,0.6,0.55,no
rtdetr,sard,turbidity_cast,3,0.0738,0.0711,-0.0027,0.0552,0.0866,0.6,0.55,no
rtdetr,sard,inundation,1,0.8432,0.8122,-0.031,0.7894,0.8355,0.6,0.55,no
rtdetr,sard,inundation,2,0.7201,0.6746,-0.0456,0.6447,0.7013,0.6,0.55,no
rtdetr,sard,inundation,3,0.4585,0.433,-0.0255,0.4023,0.4677,0.6,0.55,no
rtdetr,sard,smoke_haze,1,0.7794,0.7575,-0.0219,0.729,0.7845,0.6,0.55,no
rtdetr,sard,smoke_haze,2,0.6153,0.5314,-0.0839,0.4973,0.5626,0.6,0.55,no
rtdetr,sard,smoke_haze,3,0.3191,0.2306,-0.0884,0.2015,0.2591,0.6,0.55,no
rtdetr,sard,fire_warm_tint,1,0.7238,0.6709,-0.0529,0.6409,0.7007,0.6,0.55,no
rtdetr,sard,fire_warm_tint,2,0.3683,0.2698,-0.0985,0.2411,0.2981,0.6,0.55,no
rtdetr,sard,fire_warm_tint,3,0.1176,0.0538,-0.0638,0.0414,0.0667,0.6,0.55,no
rtdetr,sard,rain_streaks,1,0.8861,0.8541,-0.0319,0.8319,0.8756,0.6,0.55,no
rtdetr,sard,rain_streaks,2,0.8788,0.8368,-0.0419,0.8131,0.859,0.6,0.55,no
rtdetr,sard,rain_streaks,3,0.8396,0.794,-0.0456,0.7677,0.821,0.6,0.55,no
rtdetr,sard,motion_blur,1,0.7812,0.7402,-0.041,0.7121,0.7677,0.6,0.55,no
rtdetr,sard,motion_blur,2,0.4886,0.4877,-0.0009,0.4542,0.524,0.6,0.55,no
rtdetr,sard,motion_blur,3,0.3291,0.3491,0.0201,0.3183,0.3815,0.6,0.55,no
rtdetr,sard,low_light,1,0.2598,0.7721,0.5123,0.7454,0.7983,0.6,0.55,yes
rtdetr,sard,low_light,2,0.0128,0.5287,0.516,0.4968,0.56,0.6,0.55,yes
rtdetr,sard,low_light,3,0.0,0.0593,0.0593,0.0456,0.0734,0.6,0.55,no
rtdetr,sard,dust_haze,1,0.6655,0.6089,-0.0565,0.5765,0.641,0.6,0.55,no
rtdetr,sard,dust_haze,2,0.2689,0.2315,-0.0374,0.2015,0.2609,0.6,0.55,no
rtdetr,sard,dust_haze,3,0.0501,0.052,0.0018,0.0385,0.0667,0.6,0.55,no
yolo11,sard,clean,0,0.8906,0.8833,-0.0073,0.8641,0.9053,0.3,0.3,no
yolo11,sard,water_glare,1,0.8587,0.8532,-0.0055,0.83,0.8749,0.3,0.3,no
yolo11,sard,water_glare,2,0.8086,0.7903,-0.0182,0.7661,0.8182,0.3,0.3,no
yolo11,sard,water_glare,3,0.6664,0.6545,-0.0119,0.6278,0.6841,0.3,0.3,no
yolo11,sard,turbidity_cast,1,0.7958,0.783,-0.0128,0.7555,0.81,0.3,0.3,no
yolo11,sard,turbidity_cast,2,0.5752,0.536,-0.0392,0.505,0.5693,0.3,0.3,no
yolo11,sard,turbidity_cast,3,0.1914,0.1258,-0.0656,0.1054,0.1461,0.3,0.3,no
yolo11,sard,inundation,1,0.8605,0.8459,-0.0146,0.8234,0.8684,0.3,0.3,no
yolo11,sard,inundation,2,0.7438,0.742,-0.0018,0.7142,0.7695,0.3,0.3,no
yolo11,sard,inundation,3,0.495,0.4795,-0.0155,0.449,0.5105,0.3,0.3,no
yolo11,sard,smoke_haze,1,0.8104,0.8304,0.0201,0.8072,0.852,0.3,0.3,no
yolo11,sard,smoke_haze,2,0.6673,0.7092,0.0419,0.6779,0.7366,0.3,0.3,no
yolo11,sard,smoke_haze,3,0.3911,0.3947,0.0036,0.3648,0.426,0.3,0.3,no
yolo11,sard,fire_warm_tint,1,0.6882,0.6527,-0.0356,0.6223,0.6817,0.3,0.3,no
yolo11,sard,fire_warm_tint,2,0.3099,0.2789,-0.031,0.2472,0.3097,0.3,0.3,no
yolo11,sard,fire_warm_tint,3,0.0994,0.0802,-0.0191,0.0627,0.0972,0.3,0.3,no
yolo11,sard,rain_streaks,1,0.8933,0.8824,-0.0109,0.863,0.9025,0.3,0.3,no
yolo11,sard,rain_streaks,2,0.8824,0.8715,-0.0109,0.8517,0.8911,0.3,0.3,no
yolo11,sard,rain_streaks,3,0.8551,0.8332,-0.0219,0.8099,0.8553,0.3,0.3,no
yolo11,sard,motion_blur,1,0.7922,0.7721,-0.0201,0.7465,0.7977,0.3,0.3,no
yolo11,sard,motion_blur,2,0.6126,0.5679,-0.0447,0.5357,0.6002,0.3,0.3,no
yolo11,sard,motion_blur,3,0.4777,0.4339,-0.0438,0.3982,0.4713,0.3,0.3,no
yolo11,sard,low_light,1,0.1841,0.8067,0.6226,0.7819,0.83,0.3,0.3,yes
yolo11,sard,low_light,2,0.0073,0.6472,0.6399,0.6146,0.6776,0.3,0.3,yes
yolo11,sard,low_light,3,0.0,0.1878,0.1878,0.1677,0.2112,0.3,0.3,no
yolo11,sard,dust_haze,1,0.6737,0.6217,-0.052,0.5899,0.6488,0.3,0.3,no
yolo11,sard,dust_haze,2,0.2726,0.2361,-0.0365,0.2088,0.2639,0.3,0.3,no
yolo11,sard,dust_haze,3,0.0583,0.0438,-0.0146,0.0316,0.0569,0.3,0.3,no
