seed,model,dataset,corruption,severity,conf_thresh,recall,recall_ci_lo,recall_ci_hi,precision,f1
17,yolo11,sard,clean,0,0.3,0.8906,0.8696,0.9116,0.955,0.9217
17,yolo11,sard,water_glare,1,0.3,0.8587,0.837,0.8799,0.8929,0.8755
17,yolo11,sard,water_glare,2,0.3,0.8086,0.7832,0.8349,0.8612,0.834
17,yolo11,sard,water_glare,3,0.3,0.6673,0.6364,0.6967,0.7829,0.7205
17,yolo11,sard,turbidity_cast,1,0.3,0.7958,0.7713,0.8201,0.9593,0.87
17,yolo11,sard,turbidity_cast,2,0.3,0.5752,0.543,0.6056,0.9474,0.7158
17,yolo11,sard,turbidity_cast,3,0.3,0.1914,0.167,0.2169,0.9502,0.3187
17,yolo11,sard,inundation,1,0.3,0.8605,0.8398,0.882,0.9516,0.9038
17,yolo11,sard,inundation,2,0.3,0.7438,0.7174,0.7675,0.9252,0.8247
17,yolo11,sard,inundation,3,0.3,0.495,0.4657,0.5258,0.8801,0.6336
17,yolo11,sard,smoke_haze,1,0.3,0.8104,0.7862,0.8336,0.9437,0.872
17,yolo11,sard,smoke_haze,2,0.3,0.6673,0.6359,0.6982,0.9409,0.7808
17,yolo11,sard,smoke_haze,3,0.3,0.3911,0.3569,0.4207,0.9367,0.5518
17,yolo11,sard,fire_warm_tint,1,0.3,0.6882,0.6584,0.7196,0.9618,0.8023
17,yolo11,sard,fire_warm_tint,2,0.3,0.3099,0.2793,0.3402,0.9471,0.467
17,yolo11,sard,fire_warm_tint,3,0.3,0.0994,0.0827,0.1183,0.9316,0.1796
17,yolo11,sard,rain_streaks,1,0.3,0.8933,0.8737,0.9112,0.9589,0.925
17,yolo11,sard,rain_streaks,2,0.3,0.8824,0.8617,0.9019,0.9641,0.9215
17,yolo11,sard,rain_streaks,3,0.3,0.8551,0.8335,0.8764,0.9611,0.905
17,yolo11,sard,motion_blur,1,0.3,0.7922,0.7644,0.8184,0.9529,0.8651
17,yolo11,sard,motion_blur,2,0.3,0.6126,0.5793,0.6442,0.9425,0.7425
