Model,Dataset,Condition,Recall_before,Recall_after,Delta,Recall_after_CI_lo,Recall_after_CI_hi
yolo11,sard,clean,0.8904,0.884,-0.0064,0.8641,0.9053
yolo11,sard,water_glare_s1,0.8593,0.8534,-0.0059,0.83,0.8749
yolo11,sard,water_glare_s2,0.809,0.7909,-0.018,0.7661,0.8182
yolo11,sard,water_glare_s3,0.6662,0.6547,-0.0115,0.6278,0.6841
yolo11,sard,turbidity_cast_s1,0.7959,0.7831,-0.0128,0.7555,0.81
yolo11,sard,turbidity_cast_s2,0.5758,0.5373,-0.0385,0.505,0.5693
yolo11,sard,turbidity_cast_s3,0.1911,0.1255,-0.0656,0.1054,0.1461
yolo11,sard,inundation_s1,0.8602,0.8458,-0.0144,0.8234,0.8684
yolo11,sard,inundation_s2,0.7436,0.7418,-0.0017,0.7142,0.7695
yolo11,sard,inundation_s3,0.4941,0.4793,-0.0149,0.449,0.5105
yolo11,sard,smoke_haze_s1,0.8102,0.8306,0.0204,0.8072,0.852
yolo11,sard,smoke_haze_s2,0.6675,0.7086,0.0411,0.6779,0.7366
yolo11,sard,smoke_haze_s3,0.3908,0.395,0.0042,0.3648,0.426
yolo11,sard,fire_warm_tint_s1,0.6888,0.6522,-0.0365,0.6223,0.6817
yolo11,sard,fire_warm_tint_s2,0.3109,0.2788,-0.0321,0.2472,0.3097
yolo11,sard,fire_warm_tint_s3,0.0994,0.0797,-0.0197,0.0627,0.0972
yolo11,sard,rain_streaks_s1,0.8933,0.8824,-0.0109,0.863,0.9025
yolo11,sard,rain_streaks_s2,0.8827,0.872,-0.0107,0.8517,0.8911
yolo11,sard,rain_streaks_s3,0.8548,0.833,-0.0218,0.8099,0.8553
yolo11,sard,motion_blur_s1,0.792,0.7722,-0.0198,0.7465,0.7977
yolo11,sard,motion_blur_s2,0.6132,0.5674,-0.0458,0.5357,0.6002
yolo11,sard,motion_blur_s3,0.4775,0.4336,-0.0439,0.3982,0.4713
yolo11,sard,low_light_s1,0.1842,0.8068,0.6225,0.7819,0.83
yolo11,sard,low_light_s2,0.0073,0.6472,0.6398,0.6146,0.6776
yolo11,sard,low_light_s3,0.0,0.1886,0.1886,0.1677,0.2112
yolo11,sard,dust_haze_s1,0.6734,0.6212,-0.0522,0.5899,0.6488
yolo11,sard,dust_haze_s2,0.2723,0.2364,-0.0359,0.2088,0.2639
yolo11,sard,dust_haze_s3,0.0583,0.0433,-0.015,0.0316,0.0569
rtdetr,sard,clean,0.8881,0.8573,-0.0308,0.8369,0.8783
rtdetr,sard,water_glare_s1,0.8503,0.8168,-0.0335,0.793,0.8405
rtdetr,sard,water_glare_s2,0.7896,0.7588,-0.0308,0.7329,0.7859
rtdetr,sard,water_glare_s3,0.6463,0.6268,-0.0195,0.5959,0.6567
rtdetr,sard,turbidity_cast_s1,0.7912,0.7158,-0.0754,0.687,0.7437
rtdetr,sard,turbidity_cast_s2,0.4753,0.3604,-0.1149,0.3269,0.3932
rtdetr,sard,turbidity_cast_s3,0.0737,0.071,-0.0027,0.0552,0.0866
rtdetr,sard,inundation_s1,0.8438,0.8121,-0.0316,0.7894,0.8355
rtdetr,sard,inundation_s2,0.72,0.6739,-0.0461,0.6447,0.7013
rtdetr,sard,inundation_s3,0.4595,0.4342,-0.0253,0.4023,0.4677
rtdetr,sard,smoke_haze_s1,0.7801,0.7583,-0.0218,0.729,0.7845
rtdetr,sard,smoke_haze_s2,0.6146,0.5309,-0.0837,0.4973,0.5626
rtdetr,sard,smoke_haze_s3,0.3188,0.2303,-0.0885,0.2015,0.2591
rtdetr,sard,fire_warm_tint_s1,0.7241,0.6717,-0.0524,0.6409,0.7007
rtdetr,sard,fire_warm_tint_s2,0.3682,0.2697,-0.0984,0.2411,0.2981
rtdetr,sard,fire_warm_tint_s3,0.1175,0.0537,-0.0638,0.0414,0.0667
rtdetr,sard,rain_streaks_s1,0.8862,0.8541,-0.0321,0.8319,0.8756
rtdetr,sard,rain_streaks_s2,0.8789,0.8363,-0.0425,0.8131,0.859
rtdetr,sard,rain_streaks_s3,0.8397,0.7946,-0.045,0.7677,0.821
