Model,Dataset,Corruption,Severity,Recall,CI_low,CI_high
fasterrcnn,heridal,clean,0,0.7475,0.6636,0.8287
fasterrcnn,heridal,water_glare,1,0.6985,0.6209,0.7842
fasterrcnn,heridal,water_glare,2,0.7087,0.6342,0.7876
fasterrcnn,heridal,water_glare,3,0.614,0.5235,0.7082
fasterrcnn,heridal,turbidity_cast,1,0.6627,0.5755,0.7522
fasterrcnn,heridal,turbidity_cast,2,0.369,0.2876,0.4605
fasterrcnn,heridal,turbidity_cast,3,0.0239,0.0081,0.0446
fasterrcnn,heridal,inundation,1,0.7038,0.6173,0.7871
fasterrcnn,heridal,inundation,2,0.5853,0.5076,0.6739
fasterrcnn,heridal,inundation,3,0.3262,0.265,0.3951
fasterrcnn,heridal,smoke_haze,1,0.6739,0.5824,0.7653
fasterrcnn,heridal,smoke_haze,2,0.5107,0.4282,0.5986
fasterrcnn,heridal,smoke_haze,3,0.1506,0.1042,0.1972
fasterrcnn,heridal,fire_warm_tint,1,0.673,0.581,0.7687
fasterrcnn,heridal,fire_warm_tint,2,0.5709,0.4724,0.675
fasterrcnn,heridal,fire_warm_tint,3,0.401,0.3128,0.4891
fasterrcnn,heridal,rain_streaks,1,0.6553,0.5537,0.7535
fasterrcnn,heridal,rain_streaks,2,0.2207,0.165,0.2876
fasterrcnn,heridal,rain_streaks,3,0.003,0.0,0.0098
fasterrcnn,heridal,motion_blur,1,0.0148,0.0031,0.0304
fasterrcnn,heridal,motion_blur,2,0.0,0.0,0.0
fasterrcnn,heridal,motion_blur,3,0.0,0.0,0.0
fasterrcnn,heridal,low_light,1,0.4523,0.3654,0.5405
fasterrcnn,heridal,low_light,2,0.1098,0.0642,0.1631
fasterrcnn,heridal,low_light,3,0.0,0.0,0.0
fasterrcnn,heridal,dust_haze,1,0.6032,0.5142,0.6864
fasterrcnn,heridal,dust_haze,2,0.3451,0.2656,0.423
fasterrcnn,heridal,dust_haze,3,0.0984,0.0598,0.1394
rtdetr,heridal,clean,0,0.7937,0.7177,0.8726
rtdetr,heridal,water_glare,1,0.7708,0.6979,0.8467
rtdetr,heridal,water_glare,2,0.7785,0.7073,0.8496
rtdetr,heridal,water_glare,3,0.6808,0.6069,0.7531
rtdetr,heridal,turbidity_cast,1,0.7355,0.6733,0.802
rtdetr,heridal,turbidity_cast,2,0.5134,0.4389,0.6027
rtdetr,heridal,turbidity_cast,3,0.0424,0.0203,0.0692
rtdetr,heridal,inundation,1,0.8051,0.7419,0.8677
rtdetr,heridal,inundation,2,0.6909,0.6164,0.759
rtdetr,heridal,inundation,3,0.4754,0.4076,0.5452
rtdetr,heridal,smoke_haze,1,0.7516,0.6745,0.8232
rtdetr,heridal,smoke_haze,2,0.631,0.5667,0.7045
rtdetr,heridal,smoke_haze,3,0.3217,0.2683,0.3837
rtdetr,heridal,fire_warm_tint,1,0.5527,0.468,0.6421
rtdetr,heridal,fire_warm_tint,2,0.2345,0.1667,0.3085
rtdetr,heridal,fire_warm_tint,3,0.0868,0.0551,0.1208
rtdetr,heridal,rain_streaks,1,0.6734,0.5887,0.7585
rtdetr,heridal,rain_streaks,2,0.2161,0.1699,0.2678
rtdetr,heridal,rain_streaks,3,0.0028,0.0,0.0098
rtdetr,heridal,motion_blur,1,0.0031,0.0,0.0095
rtdetr,heridal,motion_blur,2,0.0,0.0,0.0
rtdetr,heridal,motion_blur,3,0.0,0.0,0.0
rtdetr,heridal,low_light,1,0.0,0.0,0.0
rtdetr,heridal,low_light,2,0.0,0.0,0.0
rtdetr,heridal,low_light,3,0.0,0.0,0.0
rtdetr,heridal,dust_haze,1,0.6395,0.5693,0.7111
rtdetr,heridal,dust_haze,2,0.3192,0.2574,0.3862
rtdetr,heridal,dust_haze,3,0.0715,0.0452,0.102
yolo11,heridal,clean,0,0.77,0.7025,0.8376
yolo11,heridal,water_glare,1,0.7407,0.6667,0.8165
yolo11,heridal,water_glare,2,0.7333,0.6686,0.8026
yolo11,heridal,water_glare,3,0.6548,0.582,0.7284
yolo11,heridal,turbidity_cast,1,0.67,0.5988,0.7454
yolo11,heridal,turbidity_cast,2,0.4801,0.4091,0.5593
yolo11,heridal,turbidity_cast,3,0.164,0.1133,0.2222
yolo11,heridal,inundation,1,0.7483,0.6812,0.8187
yolo11,heridal,inundation,2,0.6362,0.5698,0.7053
yolo11,heridal,inundation,3,0.3998,0.3375,0.463
yolo11,heridal,smoke_haze,1,0.6696,0.6005,0.7352
yolo11,heridal,smoke_haze,2,0.53,0.4469,0.6151
yolo11,heridal,smoke_haze,3,0.4074,0.3325,0.4888
yolo11,heridal,fire_warm_tint,1,0.6096,0.531,0.6885
yolo11,heridal,fire_warm_tint,2,0.3885,0.3132,0.4722
yolo11,heridal,fire_warm_tint,3,0.1459,0.1026,0.1936
yolo11,heridal,rain_streaks,1,0.6137,0.5269,0.7014
yolo11,heridal,rain_streaks,2,0.3411,0.2786,0.4103
yolo11,heridal,rain_streaks,3,0.0572,0.032,0.0849
yolo11,heridal,motion_blur,1,0.1085,0.071,0.1522
yolo11,heridal,motion_blur,2,0.0176,0.0032,0.0359
yolo11,heridal,motion_blur,3,0.003,0.0,0.011
yolo11,heridal,low_light,1,0.0483,0.0265,0.0732
yolo11,heridal,low_light,2,0.0,0.0,0.0
yolo11,heridal,low_light,3,0.0,0.0,0.0
yolo11,heridal,dust_haze,1,0.5698,0.4942,0.6504
yolo11,heridal,dust_haze,2,0.3146,0.2491,0.3843
yolo11,heridal,dust_haze,3,0.1047,0.0661,0.1511
fasterrcnn,sard,clean,0,0.8789,0.8576,0.8982
fasterrcnn,sard,water_glare,1,0.8422,0.819,0.8652
fasterrcnn,sard,water_glare,2,0.7683,0.7423,0.795
fasterrcnn,sard,water_glare,3,0.6288,0.5987,0.6608
fasterrcnn,sard,turbidity_cast,1,0.799,0.7735,0.8218
fasterrcnn,sard,turbidity_cast,2,0.5385,0.5061,0.5691
fasterrcnn,sard,turbidity_cast,3,0.1805,0.1554,0.2079
fasterrcnn,sard,inundation,1,0.8463,0.8247,0.8668
fasterrcnn,sard,inundation,2,0.7305,0.7012,0.7595
fasterrcnn,sard,inundation,3,0.4884,0.4551,0.5197
fasterrcnn,sard,smoke_haze,1,0.8112,0.7867,0.8348
fasterrcnn,sard,smoke_haze,2,0.6255,0.5973,0.6554
fasterrcnn,sard,smoke_haze,3,0.3024,0.2726,0.3321
fasterrcnn,sard,fire_warm_tint,1,0.7977,0.774,0.8208
fasterrcnn,sard,fire_warm_tint,2,0.6037,0.5735,0.6321
fasterrcnn,sard,fire_warm_tint,3,0.4064,0.375,0.4386
fasterrcnn,sard,rain_streaks,1,0.8711,0.8511,0.8913
fasterrcnn,sard,rain_streaks,2,0.8525,0.8308,0.8733
fasterrcnn,sard,rain_streaks,3,0.7793,0.7538,0.8043
fasterrcnn,sard,motion_blur,1,0.772,0.7467,0.798
fasterrcnn,sard,motion_blur,2,0.5677,0.5346,0.6022
fasterrcnn,sard,motion_blur,3,0.3977,0.365,0.4322
fasterrcnn,sard,low_light,1,0.4187,0.3888,0.4518
fasterrcnn,sard,low_light,2,0.0766,0.0604,0.0935
fasterrcnn,sard,low_light,3,0.0,0.0,0.0
fasterrcnn,sard,dust_haze,1,0.7357,0.707,0.7634
fasterrcnn,sard,dust_haze,2,0.472,0.4393,0.5062
fasterrcnn,sard,dust_haze,3,0.1601,0.136,0.1841
rtdetr,sard,clean,0,0.8881,0.8694,0.9065
rtdetr,sard,water_glare,1,0.8503,0.8279,0.8734
rtdetr,sard,water_glare,2,0.7896,0.7644,0.8179
rtdetr,sard,water_glare,3,0.6463,0.6168,0.6742
rtdetr,sard,turbidity_cast,1,0.7912,0.7652,0.8163
rtdetr,sard,turbidity_cast,2,0.4753,0.4406,0.5087
rtdetr,sard,turbidity_cast,3,0.0737,0.057,0.0908
rtdetr,sard,inundation,1,0.8438,0.8209,0.8657
rtdetr,sard,inundation,2,0.72,0.6916,0.7474
rtdetr,sard,inundation,3,0.4595,0.4261,0.4921
rtdetr,sard,smoke_haze,1,0.7801,0.753,0.8077
rtdetr,sard,smoke_haze,2,0.6146,0.5854,0.6455
rtdetr,sard,smoke_haze,3,0.3188,0.289,0.3499
rtdetr,sard,fire_warm_tint,1,0.7241,0.6975,0.7511
rtdetr,sard,fire_warm_tint,2,0.3682,0.3368,0.3984
rtdetr,sard,fire_warm_tint,3,0.1175,0.0982,0.1357
rtdetr,sard,rain_streaks,1,0.8862,0.8667,0.9061
rtdetr,sard,rain_streaks,2,0.8789,0.8588,0.9004
rtdetr,sard,rain_streaks,3,0.8397,0.8175,0.8612
rtdetr,sard,motion_blur,1,0.7812,0.7553,0.806
rtdetr,sard,motion_blur,2,0.4883,0.4573,0.5197
rtdetr,sard,motion_blur,3,0.3294,0.2971,0.3614
rtdetr,sard,low_light,1,0.2599,0.2332,0.2876
rtdetr,sard,low_light,2,0.0127,0.0066,0.0192
rtdetr,sard,low_light,3,0.0,0.0,0.0
rtdetr,sard,dust_haze,1,0.6658,0.6341,0.695
rtdetr,sard,dust_haze,2,0.268,0.238,0.2991
rtdetr,sard,dust_haze,3,0.0499,0.0374,0.0644
yolo11,sard,clean,0,0.8904,0.8701,0.9101
yolo11,sard,water_glare,1,0.8593,0.838,0.8797
yolo11,sard,water_glare,2,0.809,0.7842,0.8343
yolo11,sard,water_glare,3,0.6662,0.6368,0.6961
yolo11,sard,turbidity_cast,1,0.7959,0.77,0.8195
yolo11,sard,turbidity_cast,2,0.5758,0.5442,0.6064
